Support;Fold 1;;;;Fold 2;;;;Fold 3;;;;Fold 4;;;;Fold 5;;;;Fold 6;;;;Fold 7;;;;Fold 8;;;;Fold 9;;;;Fold 10;;;;Overall
;0+;0-;15+;15-;0+;0-;15+;15-;0+;0-;15+;15-;0+;0-;15+;15-;0+;0-;15+;15-;0+;0-;15+;15-;0+;0-;15+;15-;0+;0-;15+;15-;0+;0-;15+;15-;0+;0-;15+;15-;0+;0-;15+;15-;AvgAccuracy;StdDev;MaxAccuracy
90;259;11;38;12;274;5;34;7;283;1;25;11;276;4;32;8;268;7;29;16;274;2;29;15;280;1;27;12;273;7;31;9;274;3;35;8;269;2;27;22;0.853125;0.013438;0.095937;0.037500;0.9491;0.0154;0.9656
89;259;11;38;12;274;5;34;7;283;1;25;11;276;4;32;8;268;7;29;16;274;2;29;15;280;1;27;12;273;7;31;9;274;3;35;8;269;2;27;22;0.853125;0.013438;0.095937;0.037500;0.9491;0.0154;0.9656
88;259;11;38;12;274;5;34;7;283;1;25;11;276;4;32;8;268;7;29;16;274;2;29;15;280;1;27;12;273;7;31;9;274;3;35;8;269;2;27;22;0.853125;0.013438;0.095937;0.037500;0.9491;0.0154;0.9656
87;259;11;38;12;274;5;34;7;283;1;25;11;276;4;32;8;268;7;29;16;274;2;29;15;280;1;27;12;273;7;31;9;274;3;35;8;269;2;27;22;0.853125;0.013438;0.095937;0.037500;0.9491;0.0154;0.9656
86;259;11;38;12;274;5;34;7;283;1;25;11;276;4;32;8;268;7;29;16;274;2;29;15;280;1;27;12;273;7;31;9;274;3;35;8;269;2;27;22;0.853125;0.013438;0.095937;0.037500;0.9491;0.0154;0.9656
85;259;11;38;12;274;5;34;7;283;1;25;11;276;4;32;8;268;7;29;16;274;2;29;15;280;1;27;12;273;7;31;9;274;3;35;8;269;2;27;22;0.853125;0.013438;0.095937;0.037500;0.9491;0.0154;0.9656
84;259;11;38;12;274;5;34;7;283;1;25;11;276;4;32;8;268;7;29;16;274;2;29;15;280;1;27;12;273;7;31;9;274;3;35;8;269;2;27;22;0.853125;0.013438;0.095937;0.037500;0.9491;0.0154;0.9656
83;259;11;38;12;274;5;34;7;283;1;25;11;276;4;32;8;268;7;29;16;274;2;29;15;280;1;27;12;273;7;31;9;274;3;35;8;269;2;27;22;0.853125;0.013438;0.095937;0.037500;0.9491;0.0154;0.9656
82;259;11;38;12;274;5;34;7;283;1;25;11;276;4;32;8;268;7;29;16;274;2;29;15;280;1;27;12;273;7;31;9;274;3;35;8;269;2;27;22;0.853125;0.013438;0.095937;0.037500;0.9491;0.0154;0.9656
81;259;11;38;12;274;5;34;7;283;1;25;11;276;4;32;8;268;7;29;16;274;2;29;15;280;1;27;12;273;7;31;9;274;3;35;8;269;2;27;22;0.853125;0.013438;0.095937;0.037500;0.9491;0.0154;0.9656
